Date,ha_e_AllUnc_mean,ha_w_AllUnc_ba_mean
1994-08-04,4785.733214525386,7460.63550561493
1994-08-05,4751.043752986458,7481.957674931991
1994-08-06,4904.465163744162,8031.360413874613
1994-08-07,5040.723180095974,8579.19954076587
1994-08-08,5124.210030505979,8587.248957273801
1994-08-09,5146.314203483941,8752.330613857615
1994-08-10,5007.499270571981,9264.443171454788
1994-08-11,4828.765257041445,9494.260500732078
1994-08-12,4652.589957345749,9474.488608264806
1994-08-13,4590.441106505757,9572.229538081581
1994-08-14,4407.105373717151,9361.176819226388
1994-08-15,4450.060179779827,9787.132764142287
1994-08-16,4463.800093310308,9763.445693651653
1994-08-17,4427.887353251631,9578.478949892862
1994-08-18,4421.308378452191,9641.6799434659
1994-08-19,4323.677601047029,9093.862619154017
1994-08-20,4354.273869604742,8616.72186732868
1994-08-21,4147.825022742214,7679.199162903584
1994-08-22,3908.8969638994286,7333.354936005142
1994-08-23,3981.490101205072,7920.044585991259
1994-08-24,4023.485450672398,8164.876774488872
1994-08-25,4091.912634946545,8530.614271067569
1994-08-26,4011.268760476199,8858.505459760203
1994-08-27,3741.777261078762,9016.563234616699
1994-08-28,3544.6201251052403,8936.302430975691
1994-08-29,3385.4450142114124,9060.571641812956
1994-08-30,3444.5484130060345,9465.35874521471
1994-08-31,3512.5961630117154,9236.82518590178
1994-09-01,3349.2565522938003,8214.554196831446
1994-09-02,3312.3818690996573,8283.82205168462
1994-09-03,3313.134691704868,8507.095360581474
1994-09-04,3336.753366297134,8706.610836488388
1994-09-05,3273.9846512191457,8974.23662998093
1994-09-06,3164.0533255314886,9119.5138855578
1994-09-07,3083.780278724794,9115.39352691513
1994-09-08,3086.0543597283545,9139.938470701121
1994-09-09,3066.2685223632466,9546.580131884984
1994-09-10,3090.7708787430333,9427.310434497997
1994-09-11,3018.4205278092045,9440.169672240081
1994-09-12,2948.3204037092946,9311.921600473617
1994-09-13,2888.0128623835767,9283.404185490857
1994-09-14,2742.8788815806447,8909.7795555829
1994-09-15,2503.522762819638,8277.478156110554
1994-09-16,2397.877211407523,8163.305288648703
1994-09-17,2325.465069648658,8138.495139170855
1994-09-18,2293.889690609455,8328.389013682045
1994-09-19,2224.934691569652,8478.85283546447
1994-09-20,2180.0137376164043,8544.011790466553
1994-09-21,2130.3531521846917,8663.436065371561
1994-09-22,2053.7135604981067,8783.827865666017
1994-09-23,1952.6444090477682,8933.009073367975
1994-09-24,1981.7449642793952,8773.33158908404
1994-09-25,2075.090569382072,8897.587737750726
1994-09-26,2179.2492713397933,9060.116657314851
1994-09-27,2337.6849728387674,9070.17655073675
1994-09-28,2586.9865860045134,8651.558187522569
1994-09-29,2568.80550104222,8626.083752000675
1994-09-30,2433.299366778311,8676.995373040923
1995-06-01,2012.4252276209622,5680.793464601744
1995-06-02,2188.0460577506583,6050.5251676884145
1995-06-03,2575.572787061023,6391.736655780985
1995-06-04,2820.5691090759165,6407.199783387438
1995-06-05,2718.5924989799328,6979.855851560053
1995-06-06,2952.609250701088,7293.677351180308
1995-06-07,3191.1555515783266,7208.696192794767
1995-06-08,3215.1852888576636,7011.291670302789
1995-06-09,3176.4748500778032,7033.040481820621
1995-06-10,3157.088402486989,6856.11509844383
1995-06-11,3080.4419503442796,6861.698659417681
1995-06-12,3085.9720897192437,6705.107814990599
1995-06-13,3259.827233181142,7194.515911011383
1995-06-14,3284.8019734495597,7839.081230974291
1995-06-15,3480.888559801608,8299.436368174347
1995-06-16,3598.5186689183924,9078.866898669898
1995-06-17,3686.2877085428136,9290.445265839111
1995-06-18,3630.4548366413233,9452.742494844239
1995-06-19,3483.2609931078955,9298.982846446816
1995-06-20,3597.035975577973,10047.398900591439
1995-06-21,3733.148526366898,10709.478038020981
1995-06-22,3948.022817300519,11385.353767353823
1995-06-23,3988.460632758215,11500.290365993727
1995-06-24,4165.369474897169,12055.490641420925
1995-06-25,4311.0804398566415,12521.25687612695
1995-06-26,4405.16136086803,12639.91360496527
1995-06-27,4575.769301434461,13158.440370737308
1995-06-28,4604.421903311383,13269.861830637592
1995-06-29,4633.392077276222,13549.421405793993
1995-06-30,4678.008653838873,13599.696622172736
1995-07-01,4901.983195197709,13645.013793081916
1995-07-02,4918.773755347618,13848.172371752951
1995-07-03,4934.866416821604,13773.491294085394
1995-07-04,4850.826704017316,12874.688977267739
1995-07-05,4670.699240204879,11135.859878756995
1995-07-06,4431.302310934816,10333.339738826928
1995-07-07,4396.685529975893,10508.310975618719
1995-07-08,4680.0143957555365,10603.576601090263
1995-07-09,4792.608251875237,11163.705972075388
1995-07-10,4906.511261706032,11304.659048634703
1995-07-11,4859.3192629905425,11034.390828660591
1995-07-12,4923.803458983164,10859.861522130546
1995-07-13,5037.8505084628,11130.201801951938
1995-07-14,5157.482721385652,11574.362373813676
1995-07-15,5165.059886170894,12039.416089527815
1995-07-16,5237.382332638928,12485.155633743221
1995-07-17,5388.316636085511,12861.96117786717
1995-07-18,5470.289542057911,13193.316191917913
1995-07-19,5584.94467529002,13146.982972005939
1995-07-20,5717.715798395956,13205.770250064554
1995-07-21,5691.539098984005,12803.58210949581
1995-07-22,5668.736016834018,11873.278230878883
1995-07-23,5715.687564466921,10606.459684675612
1995-07-24,5678.992618686844,9689.97174188684
1995-07-25,5786.735048679898,9536.96636475348
1995-07-26,5907.592902107846,9362.663257123691
1995-07-27,5917.4668607734075,9050.83667643189
1995-07-28,6033.164213999632,8986.755166032091
1995-07-29,6014.859972484502,9136.006310694038
1995-07-30,5620.207360862622,8906.804941202014
1995-07-31,5149.724781316086,7798.626710637071
1995-08-01,4720.999668666157,7103.601269636693
1995-08-02,4598.2772569410345,7261.33282041534
1995-08-03,4569.079937988001,7253.188363732115
1995-08-04,4587.148543294866,7385.279591913516
1995-08-05,4590.8845321179815,7246.016342424387
1995-08-06,4733.737400623285,7586.031172351459
1995-08-07,4684.984412168504,7691.05571820906
1995-08-08,4724.317108742552,7746.835303902936
1995-08-09,4756.425686607895,8212.471373010942
1995-08-10,4917.817698580748,8430.9620545826
1995-08-11,4946.830954416096,9002.981162420552
1995-08-12,5094.778563380848,9314.128599448777
1995-08-13,5273.88081358422,9612.125402589
1995-08-14,5445.865660372285,10111.297682686845
1995-08-15,5657.722919490161,10660.995512692989
1995-08-16,5646.175480684884,10614.402856983985
1995-08-17,5798.276590233918,10792.171503183064
1995-08-18,5681.431656377316,11089.219381880048
1995-08-19,5843.870334412778,11421.604286090114
1995-08-20,5828.216273184752,11739.66719370414
1995-08-21,5809.531276971374,11974.099009887952
1995-08-22,5820.721140370879,12071.74595029518
1995-08-23,5807.858963541975,12294.041160257215
1995-08-24,5596.893330526641,12018.962963157586
1995-08-25,5450.926961629957,12158.231217079485
1995-08-26,5403.752412286302,12172.590594667328
1995-08-27,5465.185200698073,12239.049356794816
1995-08-28,5510.68810781302,12287.621892304975
1995-08-29,5411.186761830905,12414.95595363214
1995-08-30,5443.7288828034225,12341.953570462709
1995-08-31,5458.69412314689,12150.857621848176
1995-09-01,5088.203243597607,11342.201004689025
1995-09-02,5018.273847312243,11113.54483626798
1995-09-03,5090.170758054395,11132.117586435335
1995-09-04,5181.608081422681,11405.240076977214
1995-09-05,5103.277501511597,11426.828979353517
1995-09-06,5015.00988529766,11227.893977790798
1995-09-07,4690.105673847967,10195.16077499173
1995-09-08,4359.1387057745505,10028.185508440103
1995-09-09,4351.5822237207285,9855.604608658059
1995-09-10,4347.951988665414,9956.756860798945
1995-09-11,4395.549882576192,9703.85843856269
1995-09-12,4320.4172073318305,9406.220494492805
1995-09-13,4390.732218895323,9594.103544287867
1995-09-14,4286.878151856688,9650.773423430823
1995-09-15,4394.245408678348,9797.88435301636
1995-09-16,4298.714319254888,9559.111375785062
1995-09-17,4178.228484667158,8691.970242957914
1995-09-18,4163.687574133608,8329.8135367777
1995-09-19,4000.5294967725217,8344.768268489694
1995-09-20,4054.29465386509,8326.40745194966
1995-09-21,4060.252707827677,8334.806751141436
1995-09-22,4085.940293097921,8942.067334821204
1995-09-23,3745.7462112785392,7778.124491304342
1995-09-24,3041.5084224530938,6655.696454011815
1995-09-25,2779.010458317716,6686.102960122152
1995-09-26,2363.89027448718,6598.846961331673
1995-09-27,2284.2844158885437,6642.0777524361765
1995-09-28,2146.214235745921,6855.025593918826
1995-09-29,2097.3500149389565,6721.607999417392
1995-09-30,1735.2132299213652,6447.11873577135
1996-06-01,1832.2642901996987,3845.6049238498945
1996-06-02,1663.140924473271,3940.6356259849763
1996-06-03,1677.44962728891,4270.2582771674215
1996-06-04,1915.254263890508,4753.7645333448145
1996-06-05,2338.470234306044,5341.352780670275
1996-06-06,2535.342109017769,5529.931136190963
1996-06-07,2550.4766943995546,5578.620238670087
1996-06-08,2675.919471265514,5969.806938827948
1996-06-09,2903.888471516381,6342.966807025698
1996-06-10,3199.3148616208514,6623.164386023683
1996-06-11,3441.7849717752606,6692.041889860999
1996-06-12,3642.6401394966774,6851.629556072103
1996-06-13,3546.24196827489,6944.580884405589
1996-06-14,3643.822802389803,7145.607615563725
1996-06-15,3731.002247684469,7465.181494219218
1996-06-16,3862.499501517083,7718.435792375876
1996-06-17,4003.001647819753,8156.931074576677
1996-06-18,4110.574014712958,8457.504504467983
1996-06-19,4260.9805312266535,8853.018127020941
1996-06-20,4348.070336532015,8916.74654086641
1996-06-21,4338.80293936682,9321.149133725408
1996-06-22,4452.389353214096,9768.509811262998
1996-06-23,4448.94470006954,9717.642404695844
1996-06-24,4509.424267799775,9795.301446327068
1996-06-25,4428.191267430151,10031.414505661049
1996-06-26,4548.534267121961,10368.468844274297
1996-06-27,4575.738941477383,10749.811543844722
1996-06-28,4572.363446920398,10984.714174684352
1996-06-29,4623.235718400608,11309.105637045275
1996-06-30,4610.9720497859225,11873.769471307625
1996-07-01,4774.824477849538,12445.803038947624
1996-07-02,4721.523821364896,12555.906730891264
1996-07-03,4792.010254050701,12838.51178694811
1996-07-04,4851.977908463608,13156.315568379849
1996-07-05,4923.569799439341,13178.150905624956
1996-07-06,4933.41879676432,13231.05655858798
1996-07-07,4935.235571574361,13182.715925446664
1996-07-08,4727.826417548797,13030.368643491918
1996-07-09,4487.323352550274,12036.654964133677
1996-07-10,4577.010350487096,11463.978912641585
1996-07-11,4561.118589331095,11632.419576806742
1996-07-12,4631.9638106555,11555.471344499048
1996-07-13,4786.325251440293,11830.800802091608
1996-07-14,4805.814668037221,11670.938914113754
1996-07-15,4803.785135100171,10645.760584818598
1996-07-16,4906.509221073083,10392.00473215547
1996-07-17,4903.93503461579,10262.90659745529
1996-07-18,4776.347784920743,10053.429620739795
1996-07-19,4755.727745591972,9819.83526192728
1996-07-20,4742.66121424328,9861.894917453843
1996-07-21,4904.151199058435,9585.983210907065
1996-07-22,4984.240410683901,9359.482051384119
1996-07-23,4988.29085490193,8833.3111152628735
1996-07-24,4953.755371710524,8134.148283949773
1996-07-25,5014.103864398117,7977.333082486599
1996-07-26,5001.800083847234,8002.345157099817
1996-07-27,5025.79494400531,8003.206338827194
