year,month,t
2015,9,20.119286940387582
2015,10,12.856705096742942
2015,11,6.12032932781521
2015,12,2.085083000141633
2016,1,-2.586313815313234
2016,2,2.023291591783905
2016,3,7.199427010509341
2016,4,10.750200783659364
2016,5,15.041129935839217
2016,6,22.177634638972016
2016,7,23.72305860081372
2016,8,22.798773755226282
2016,9,19.330226314289455
2016,10,13.635109348950861
2016,11,8.07058150574866
2016,12,-2.6962028191401726
