"","outp_tim","spgAtQ","spgAtN","spgMsQ","spgMsN","spgWwi","smrAtQ","smrWwi","smr14wi2W","smr14wi2E"
"3352",2012-07-28,4301.6436289536,15903.094524849,9980.4298971648,39659.8160819537,-0.930441172666667,2425.72866278895,0.052010738,20.65210417,26.41895481
"3353",2012-07-29,4265.7756232704,15804.0771324816,9897.6817787904,39280.3603095061,-0.788612478833333,2397.61480434457,0.0834259325,21.2076713,27.79890404
"3354",2012-07-30,4231.4807757312,15709.1602725147,9817.7653450752,38912.9533754686,-0.662487144333333,2373.59115707458,0.102732933,20.12909745,28.40773497
"3355",2012-07-31,4195.2981384192,15580.9422857959,9740.995227648,38560.989248196,-0.550027971833333,2348.95854536175,0.157541675166667,20.3760635,29.57841102
"3356",2012-08-01,4165.0935020544,15478.4260027246,9667.3714265088,38127.2294559842,-0.460190173,2326.50805623577,0.209691482333333,21.64416811,31.52860939
"3357",2012-08-02,4135.2034973184,15376.4171925186,9602.2426793472,37730.4924491317,-0.4498569175,2309.30481072557,0.312051988833333,23.19001991,33.99820428
"3358",2012-08-03,4110.662230272,15293.8542198401,9541.20414336,37353.3307584675,-0.401029264833333,2293.10635654606,0.354515736166667,23.52838907,34.56325895
"3359",2012-08-04,4085.1770683392,15207.6617849264,9482.6826604032,36990.2890062489,-0.368836143666667,2277.932992512,0.366555486,24.0847832,33.18719449
"3360",2012-08-05,4060.9504329216,15126.1158190399,9417.2392816128,36601.2804826858,-0.330239779833333,2264.54592417693,0.327304985166667,23.50507796,31.27548092
"3361",2012-08-06,4041.443271936,15061.4874900503,9343.6154804736,36180.1437742317,-0.301946550833333,2255.81743382957,0.266176760166667,22.15457857,29.08790254
"3362",2012-08-07,4005.260634624,14935.4648068353,9261.8112569856,35726.8788808866,-0.287516612166667,2245.59698059726,0.276178005833333,20.35119608,26.46713097
"3363",2012-08-08,3963.4146279936,14789.6075832178,9155.4657664512,35173.822860233,-0.327594390666667,2234.64577003355,0.297978041,18.19687559,24.27545907
"3364",2012-08-09,3921.883252992,14645.043181756,9034.0179577344,34559.0776606391,-0.239303862166667,2222.10110251107,0.2902056925,16.5115713,22.48656742
"3365",2012-08-10,3873.4299821568,14475.3618241131,8905.0189899264,33912.5676637535,-0.0865102041666666,2202.85782611737,0.299926433833333,16.05296841,22.79756031
"3366",2012-08-11,3823.0889215488,14298.7739693418,8767.8395997696,33232.320020694,-0.0590884881666667,2183.02588409559,0.3544329945,18.74830863,24.28013179
"3367",2012-08-12,3763.9381753344,14088.7451866367,8618.0749444608,32501.8471647826,-0.0995291238333333,2168.24834694937,0.443931524833333,19.95457396,25.34474235
"3368",2012-08-13,3696.6070067712,13848.7230815774,8460.444498432,31734.6716068207,-0.102646088166667,2153.9173837279,0.4766833945,19.91120552,23.72363324
"3369",2012-08-14,3624.2417321472,13589.7243364729,8294.6336300544,30931.3550368331,-0.123100791666667,2135.52665755417,0.529551025666667,21.05700612,23.69001782
"3370",2012-08-15,3558.483721728,13355.2354729912,8119.3838128128,30087.7424548407,-0.132070363166667,2114.36514316552,0.642238831833333,23.64795056,26.43015338
"3371",2012-08-16,3481.398972672,13079.9282266093,7945.0778904576,29247.8000517783,-0.196831595166667,2090.05731248888,0.779621894166667,25.2324876,26.27246777
"3372",2012-08-17,3399.594749184,12787.2397888331,7769.828073216,28403.978167571,-0.253886817666667,2067.22114588243,0.858606840666667,25.17463211,25.21373217
"3373",2012-08-18,3317.1612624384,12491.8699264701,7593.3197294592,27555.7919811696,-0.230377236166667,2045.72470105022,0.9185092125,24.40963376,24.69058086
"3374",2012-08-19,3233.4692491776,12191.4934636923,7416.1821224448,26707.6610115986,-0.183584865166667,2030.90656627448,0.974037371166667,23.34518585,23.60474444
"3375",2012-08-20,3151.035762432,11895.6868579635,7244.39325312,25882.6541036959,-0.230184002666667,2016.71769475634,1.01097378533333,21.82680985,26.62751898
"3376",2012-08-21,3070.1754338304,11605.2755555247,7084.5603856896,25109.2628281075,-0.3540975005,2007.75576803923,1.04986391816667,20.06683416,26.37490926
"3377",2012-08-22,2998.439422464,11348.1039165729,6925.042149888,24339.993900564,-0.476938359833333,1997.84994643572,1.06245633916667,18.4821751,25.00817443
"3378",2012-08-23,2933.6253069312,11116.4399977386,6770.5580201472,23594.7860248527,-0.550493101333333,1987.90352720268,1.08068114666667,17.70254382,24.28788853
"3379",2012-08-24,2871.6428760576,10895.2316048726,6626.4567341568,22894.5691990054,-0.532397021833333,1978.25144078369,1.04830091383333,17.33732474,23.18167488
"3380",2012-08-25,2807.1433921536,10664.2015717281,6495.2553449472,22247.4224686202,-0.444518760666667,1971.03521213605,1.01051637866667,19.8206002,22.81486573
"3381",2012-08-26,2747.9926459392,10452.9659820355,6375.0660627456,21646.2147780522,-0.390644197,1962.85478978725,0.927665952333333,21.48375694,23.06851673
"3382",2012-08-27,2695.7637955584,10267.153857648,6265.2596242944,21090.8136940622,-0.429166816,1951.77163692759,0.81594987,20.2961579,25.18728335
"3383",2012-08-28,2650.4568410112,10106.6234388609,6166.4652928512,20581.7486021736,-0.5093060435,1940.16071488413,0.730710661833333,18.59856729,33.55423236
"3384",2012-08-29,2611.7571506688,9970.21595917716,6078.3684367872,20114.4785499121,-0.570604924,1930.6304213537,0.626206491666667,19.13326837,86.44865206
"3385",2012-08-30,2574.0013552128,9837.01654524308,6000.6544244736,19692.9934520832,-0.572852873666667,1922.65298715252,0.582377023666667,23.68093275,130.9551092
"3386",2012-08-31,2539.077244416,9695.29410128111,5927.0306233344,19367.3562295388,-0.582807923333333,1927.75813906498,0.648776822333333,26.00341607,142.3088206
"3387",2012-09-01,2508.5579764224,9565.40949654552,5855.294611968,19037.1534196942,-0.491026625833333,1940.17086429151,0.6022613725,29.85817221,135.7296206
"3388",2012-09-02,2482.7581828608,9453.23950712726,5787.0195485184,18720.1753168998,-0.458982167666667,1943.1141924319,0.536745933333333,31.48154988,126.1599128
"3389",2012-09-03,2462.3071269888,9361.11695168865,5725.6663809024,18428.1262675037,-0.4708859035,1940.83057577125,0.535887750166667,30.9693963,116.2494883
"3390",2012-09-04,2441.2268078592,9266.29207876368,5669.0326877184,18152.5644710793,-0.504574461166667,1935.5630333407,0.5968145475,31.46199967,108.2098881
"3391",2012-09-05,2425.809858048,9192.97985422766,5616.8038373376,17890.9996111195,-0.546180373666667,1930.90445535298,0.695920448333333,31.51166322,102.4867435
"3392",2012-09-06,2413.8538561536,9132.3471088603,5569.9237246464,17645.8124602119,-0.512589487833333,1925.38317773791,0.8192237215,30.91079552,101.0865945
"3393",2012-09-07,2392.1442737664,9034.42151167814,5527.1338231296,17413.3218680056,-0.447377547,1915.22362094988,0.863255286333333,29.17757365,97.0367937
"3394",2012-09-08,2369.8054281216,8933.144565072,5484.029289984,17179.3545330937,-0.407028853,1908.83964370746,0.820540235666667,26.7376613,88.58994867
